codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3513207;30,566828;Cristais Paulista;47,420278;-20,397222;2410;358
3513306;70,163723;Cruzália;50,793611;-22,735556;400;435
3513405;55,42864;Cruzeiro;44,962778;-22,576111;5700;202
3513504;20,339588;Cubatão;46,425278;-23,895;0;44
3513603;0;Cunha;44,959722;-23,074444;19600;179
3513702;0;Descalvado;47,619444;-21,903889;6700;208
3513801;50,54689;Diadema;46,622778;-23,686111;0;15
3513850;17,157105;Dirce Reis;50,606111;-20,466111;4394;533
3513900;72,557207;Divinolândia;46,739167;-21,661389;900;209
3514007;52,36288;Dobrada;48,393889;-21,516667;70;289
3514106;81,565239;Dois Córregos;48,380278;-22,366111;2400;222
3514205;41,681451;Dolcinópolis;50,513333;-20,123056;2560;552
3514304;14,146452;Dourado;48,3175;-22,1;796;236
3514403;11,93615;Dracena;51,532778;-21,4825;2700;553
3514502;34,465248;Duartina;49,403889;-22,414444;882;310
3514601;55,673076;Dumont;47,973333;-21,236389;142;291
3514700;14,894756;Echaporã;50,200556;-22,429444;1500;386
3514809;21,969663;Eldorado;48,108056;-24,52;150;184
3514908;35,505939;Elias Fausto;47,373889;-23,042778;780;94
3514924;61,137029;Elisiário;49,111667;-21,165556;745;367
3514957;67,174226;Embaúba;48,835556;-20,9825;470;363
3515004;62,536295;Embu;46,852222;-23,648889;0;25
3515103;0;Embu-Guaçu;46,811389;-23,832222;0;36
3515129;13,148329;Emilianópolis;51,483056;-21,833056;1800;533
3515152;49,028329;Engenheiro Coelho;47,215;-22,488333;1147;131
3515186;20,183314;Espírito Santo do Pinhal;46,682778;-22,115833;1900;159
3515194;55,969663;Espírito Santo do Turvo;49,430278;-22,692222;1200;301
3515202;40,283115;Estrela d'Oeste;50,400833;-20,287778;4961;531
3515301;63,127948;Estrela do Norte;51,660278;-22,488056;2000;528
3515350;0;Euclides da Cunha Paulista;52,590278;-22,561389;5136;620
3515400;25,20061;Fartura;49,51;-23,388333;4160;294
3515509;0;Fernandópolis;50,246389;-20,283889;10000;519
3515608;56,848345;Fernando Prestes;48,685278;-21,264444;100;329
3515657;21,564416;Fernão;49,520833;-22,358611;400;324
3515707;100,89128;Ferraz de Vasconcelos;46,368611;-23,540833;8;27
3515806;38,032817;Flora Rica;51,384167;-21,675833;880;530
3515905;22,624867;Floreal;50,145278;-20,676667;3200;482
3516002;48,607021;Flórida Paulista;51,173611;-21,614722;2500;513
3516101;80,185141;Florínia;50,737778;-22,903333;60;426
3516200;16,725376;Franca;47,400833;-20,538611;2830;342
3516309;52,843002;Francisco Morato;46,745278;-23,281667;0;31
3516408;45,267215;Franco da Rocha;46,726944;-23,321667;14;27
3516507;72,081631;Gabriel Monteiro;50,554722;-21,531111;650;461
