codigo,dist_centro,longitude,latitude,peso,dist_cap
3513850,"17,157105","50,606111","-20,466111",4394,533
3513900,"72,557207","46,739167","-21,661389",900,209
3514007,"52,36288","48,393889","-21,516667",70,289
3514106,"81,565239","48,380278","-22,366111",2400,222
3514205,"41,681451","50,513333","-20,123056",2560,552
3514304,"14,146452","48,3175","-22,1",796,236
3514403,"11,93615","51,532778","-21,4825",2700,553
3514502,"34,465248","49,403889","-22,414444",882,310
3514601,"55,673076","47,973333","-21,236389",142,291
3514700,"14,894756","50,200556","-22,429444",1500,386
3514809,"21,969663","48,108056","-24,52",150,184
3514908,"35,505939","47,373889","-23,042778",780,94
3514924,"61,137029","49,111667","-21,165556",745,367
3514957,"67,174226","48,835556","-20,9825",470,363
3515004,"62,536295","46,852222","-23,648889",0,25
3515103,0,"46,811389","-23,832222",0,36
3515129,"13,148329","51,483056","-21,833056",1800,533
3515152,"49,028329","47,215","-22,488333",1147,131
3515186,"20,183314","46,682778","-22,115833",1900,159
3515194,"55,969663","49,430278","-22,692222",1200,301
3515202,"40,283115","50,400833","-20,287778",4961,531
3515301,"63,127948","51,660278","-22,488056",2000,528
3515350,0,"52,590278","-22,561389",5136,620
3515400,"25,20061","49,51","-23,388333",4160,294
3515509,0,"50,246389","-20,283889",10000,519
3515608,"56,848345","48,685278","-21,264444",100,329
3515657,"21,564416","49,520833","-22,358611",400,324
3515707,"100,89128","46,368611","-23,540833",8,27
3515806,"38,032817","51,384167","-21,675833",880,530
3515905,"22,624867","50,145278","-20,676667",3200,482
3516002,"48,607021","51,173611","-21,614722",2500,513
3516101,"80,185141","50,737778","-22,903333",60,426
3516200,"16,725376","47,400833","-20,538611",2830,342
3516309,"52,843002","46,745278","-23,281667",0,31
3516408,"45,267215","46,726944","-23,321667",14,27
3516507,"72,081631","50,554722","-21,531111",650,461
3516606,"13,928065","49,552778","-22,291389",1500,330
3516705,0,"49,656111","-22,210556",3000,343
3516804,"24,608445","50,186944","-20,798611",3200,476
3516853,"20,170236","48,494722","-21,838889",500,269
3516903,0,"50,360556","-20,648333",17111,501
3517000,"30,034043","49,928611","-21,798611",702,390
3517109,"40,186983","50,205833","-21,376111",3730,439
3517208,"11,303538","49,798611","-21,621944",1455,389
3517307,"41,715685","49,896667","-21,91",458,381
3517406,"64,414333","48,310556","-20,318333",750,397
3517505,"48,401885","49,220278","-20,795",2010,405
3517604,"71,146814","48,532778","-24,185",180,206
3517703,"57,175409","47,824167","-20,428333",1720,367
3517802,"15,995733","51,206667","-21,028333",5480,547
3517901,"69,292775","48,944722","-20,498611",1277,413
3518008,"25,21173","50,339444","-20,074722",3252,543
3518107,"48,552255","49,589722","-21,895",531,354
3518206,"86,863112","50,642778","-21,260833",2800,484
3518305,"65,366228","46,035","-23,415",1850,63
3518404,"37,313484","45,1925","-22,816389",18050,169
3518503,"27,778322","48,184167","-23,372778",8650,159
3518602,"52,557031","48,228333","-21,36",110,292
3518701,0,"46,256389","-23,993056",6,63
3518800,"56,824902","46,533333","-23,462778",52,14
3518859,"66,120267","48,037778","-21,496667",250,269
3518909,"27,964987","50,661944","-20,649722",8250,525
3519006,"36,604638","50,385278","-22,003611",2960,421
3519055,"30,31399","47,055556","-22,633056",680,110
3519071,"17,135224","47,22","-22,858333",6,97
3519105,"25,003222","49,024722","-21,89",1640,306
3519204,"59,051137","50,689444","-21,858333",835,457
3519253,"42,440007","49,162778","-22,870833",160,269
3519303,"39,32975","47,996667","-21,954722",315,225
3519402,"46,547648","49,240833","-21,080278",1870,383
3519501,"35,016639","50,0725","-22,8175",175,361
3519600,0,"48,828889","-21,757778",3060,300
3519709,"84,943165","47,2225","-23,656389",852,61
3519808,"56,940185","49,195","-20,341667",1384,443
3519907,"58,073311","51,076111","-22,660556",3740,465
3520004,"66,16984","48,557778","-22,509167",92,228
3520103,"17,464844","47,746944","-20,038333",1200,405
3520202,"64,574991","46,156111","-23,204444",717,62
3520301,"45,196731","47,555278","-24,708056",260,159
3520400,"85,994701","45,358056","-23,778056",45,133
3520426,"47,01316","47,54","-24,741111",0,161
3520442,"33,367493","51,3425","-20,432778",4250,596
3520509,"26,100967","47,218056","-23,090278",2600,78
3520608,"8,9140614","51,251667","-22,174444",786,498
3520707,"34,102013","50,289722","-19,98",6030,547
3520806,"47,057124","50,961944","-21,769722",720,486
3520905,"36,353653","49,626389","-23,056667",250,311
3521002,"45,862295","47,688611","-23,350278",1120,110
3521101,"32,980513","47,718889","-22,435833",173,166
3521150,"27,471947","49,387222","-20,656667",2010,428
3521200,"60,905677","48,593056","-24,585556",480,230
3521309,"67,201904","48,012222","-20,438056",500,372
3521408,"59,260111","47,518611","-22,580556",157,140
3521507,"38,415118","49,408889","-21,279444",890,380
3521606,"31,469481","51,345","-21,570833",2500,532
3521705,0,"49,137222","-23,861944",9000,257
3521804,"38,981047","49,090556","-23,417778",1960,251
3521903,"23,985097","49,054444","-21,318056",1350,351
3522000,"24,96547","48,804722","-21,981111",900,282
3522109,"68,913361","46,788889","-24,183056",0,72
3522158,"16,897888","48,842778","-24,64",720,255
3522208,"68,142127","46,849167","-23,716944",0,29
3522307,0,"48,053056","-23,591667",20080,145
