dist_centro	longitude	latitude	peso	dist_cap
65.094827	47.427778	-23.711944	2543	83
42.213504	47.716389	-23.813056	5080	114
14.895253	45.461667	-22.923889	4987	139
45.179231	48.907222	-21.185833	434	351
19.822785	46.590556	-22.779444	1800	85
12.639417	51.728611	-21.8675	2215	555
55.849978	45.176111	-22.613611	1940	182
21.977802	46.358056	-23.053889	4000	62
0	47.649167	-22.725278	5575	138
0	49.383889	-23.193611	4780	284
31.237736	49.457222	-21.998611	1850	337
24.354598	48.657778	-21.091389	350	343
33.732194	47.002222	-23.396944	0	41
36.826469	51.5	-22.275278	4700	519
22.453544	47.425833	-21.996111	2700	190
79.379653	49.134722	-22.412778	580	285
27.562261	48.221667	-21.009444	800	325
62.089857	49.929167	-21.034444	1100	439
36.412464	50.203889	-22.637778	430	379
98.078506	46.344722	-23.528056	9	30
25.332328	49.823611	-20.785278	2950	449
25.918739	50.171667	-22.108611	1540	396
33.439629	49.366667	-21.736389	443	345
49.192542	48.037222	-21.0225	250	315
25.018844	50.523333	-20.440833	5576	529
23.950257	49.703333	-20.166667	1250	491
49.493532	50.5375	-19.932778	5559	568
21.354358	48125	-23.175833	3684	158
23.616274	47.523889	-23.214722	7750	98
15.510098	47.479167	-21.853889	500	207
39.449318	45.251389	-22.842778	820	162
32.314152	49.377222	-21.042778	7010	396
33.910556	51.086667	-21.851111	450	494
78.02735	48.065556	-21.359444	140	283
14.942417	46.402778	-24.005833	0	56
33.030228	48.666111	-22.808333	1650	223
25.608266	49.438056	-22.1	700	329
19.573089	51.553056	-22.006111	5400	533
0	52.115556	-21.763333	6658	597
39.268105	51.388889	-22.125556	3950	513
24.479162	51.843889	-21.876111	4458	566
0	49.858056	-21.536667	12147	399
31.927887	48.054722	-23.299444	2166	148
49.956362	50.698333	-22.2475	2271	441
49.108313	50.240278	-21.798889	420	418
62.746951	44.773889	-22.536944	4300	221
27.47503	50.3075	-22.0725	280	411
36.489645	47.526944	-23.011667	100	109
30.072456	50.893056	-22.229167	8507	461
26.823714	45.536667	-23.266944	4958	117
15.977929	51.302778	-22.221389	1390	501
43.418622	49.225278	-21.888056	770	323
27.879044	47.843611	-24.4875	1330	161
21.317424	47.482778	-20.603333	729	338
0	49.008889	-24.656944	740	271
23.626029	48.176111	-22.066667	1480	228
54.942844	48.765556	-24.220833	460	229
38.014902	47.590278	-20.456944	1045	356
20.311896	49.933611	-22.784167	641	348
15.871134	51.651389	-21.975833	4600	544
82.767455	48.365278	-24.099167	690	186
85.393731	46.413333	-23.710556	0	29
39.5175	47.810278	-21.1775	900	289
70.748656	49.429167	-23.828333	2364	287
32.389989	47.421389	-20.080556	1677	392
55.919826	48.070833	-21.586944	1300	263
65.761472	50.722222	-21.725833	920	466
56.763246	47.561389	-22.411389	1470	158
13.853309	47.606111	-22.843333	573	126
89.327945	46.398333	-23.744167	0	33
26.745999	49.681944	-19.980833	2890	505
0	53.059167	-22.579722	5120	667
40.458224	45.305278	-22.898056	3800	154
93.695547	50.726667	-21.300556	790	489
36.370868	51.002222	-20.179444	1490	585
46.67706	49.578333	-21.459722	521	381
36.618243	50.956111	-21.883611	800	481
38.365337	49.485278	-21.341111	1550	382
29.456952	47.838056	-20.771944	4000	331
63.640042	45.846389	-23.532222	838	81
66.273643	50.860556	-21.624167	274	484
13.798841	47.676944	-22.846667	645	132
7.1542352	47.286944	-23.200833	900	77
49.299989	47.573333	-23.648889	2042	96
29.971523	49.985556	-22.892778	790	350
70.036666	51.763056	-22.456111	1800	539
49.908106	48.804167	-21.242778	830	339
42.908749	50.727778	-20.031944	7638	575
39.918364	47.413611	-22.753611	650	119
53.146647	45.883889	-23.396667	862	79
39.763508	50.926389	-20.093889	1607	586
31.457818	47.451944	-22.140278	500	177
13.127158	47.429722	-21.290833	260	263
61.628388	47.248611	-21.826944	1000	201
20.160507	49.6325	-22.898889	5496	315
55.93354	48.390833	-21.462778	50	293
28.52284	50.925833	-20.211111	1944	577
62.165505	47.530278	-22.456667	30	152
75.324383	46.221389	-23.315556	858	50
46.60718	48.084167	-21685	200	254
52.155191	48.160556	-22.567222	1895	190
19.427992	51.755278	-21.350833	960	580
18.535786	50.797222	-20.253056	2045	564
43.789756	46.917778	-23.444167	0	31
31.159803	50.83	-20.143611	2427	574
51.621831	47.478056	-21.710278	2300	221
22.798268	47.363056	-21.472778	5515	242
20.579548	50.688333	-20.244722	3214	556
0	51.610278	-21.838333	20000	545
79.18778	46.538333	-23.663889	0	16
26.28264	47.151111	-21.086944	3650	278
36.326359	46.919444	-22.606111	240	108
35.007918	50.495556	-20.936667	5880	492
25.429146	46.746667	-22.192778	550	150
24.726103	45.6625	-22.827222	188	128
22.553049	51.392222	-21.850556	1800	524
67.361841	50.500278	-21.6375	170	450
8.627598	46.333611	-23.960833	0	55
41.628286	45.730833	-22.688889	1255	133
82.557299	46565	-23.693889	0	18
74.651056	46.551111	-23.623056	0	12
30.71514	47.890833	-22.0175	4000	213
9.3180923	50.696667	-20.359167	2171	548
0	46.798056	-21.969167	5000	176
40.13185	50.378056	-20.389444	2600	521
15.040597	50.352222	-20.513333	5940	510
15.986792	51.665833	-21.268056	2980	576
44.428943	47.854722	-20.581389	2000	352
33.641611	47.64	-20.593056	3344	343
61.756883	44.577778	-22645	4100	233
55.857341	46.888611	-21.595556	5200	218
41.250463	49.379444	-20.819722	5100	414
37.962562	45.886944	-23.179444	13900	87
70.956181	46.9425	-23.8525	0	46
33.184925	45.31	-23.221667	9350	140
41.475713	48.570556	-22.731111	3200	218
32.387682	47.997222	-23.878333	5780	144
66.936772	46.636111	-23.5475	0	0
33.535686	47.913889	-22.548611	5435	171
0	49.739722	-22.746944	6635	330
33.891936	47.135278	-23.529167	805	51
82.938664	45.409722	-23.76	137	127
69.613477	46.820833	-21.710556	4000	204
34.161301	47.550833	-21.479167	1530	248
14.17453	46.391944	-23.963056	0	52
23.8966	47.824722	-23.640556	3580	122
13.23381	49.480278	-23.273056	860	292
45.742967	49.921111	-20655	1750	466
46.727717	47.565556	-21.310833	900	266
35.640147	47.595556	-21.211389	650	277
41.138133	46.700556	-22.612222	800	104
50.233427	47.990278	-21.137778	1000	301
34.769458	47.925556	-24.387778	1200	161
85.130407	48.802778	-20.809444	730	377
46.901313	44.852778	-22.664444	6250	207
40.125593	46.528889	-22.591389	4600	106
61.489432	47.458056	-23.501667	857	84
20.146711	50.923889	-20.690833	3098	544
23.080285	47.266944	-22.821944	450	103
96.197925	46.310833	-23.5425	192	33
17.587951	51.024722	-20.501389	2440	565
59.378722	49.031667	-20.964167	3200	378
15.306856	48.6875	-21.716667	1300	293
65.594007	46.791667	-23.626111	0	18
29.55145	51.284722	-22.389722	5500	494
28.846686	49.408889	-23.451944	2400	283
21.9634	48.5125	-21.144444	750	329
19.611706	48.451667	-21.123889	420	327
47.895279	47.274444	-21705	3300	214
0	49.649167	-20.626389	19600	449
69.268395	47.507222	-23.963611	658	100
61.419042	46.748611	-21.468333	2900	231
15.38861	48.410278	-21.071944	100	329
50.862433	48.504722	-21.406111	500	305
40.350663	49.244444	-23.533056	1700	266
45.701047	48.693056	-23.924444	620	214
43.616206	51.559167	-22.3025	1200	524
56.510661	50.577222	-22.746667	120	413
33.014869	47.856944	-23.355556	8161	127
0	45.555278	-23.026389	18106	125
16.60894	49.376389	-23.342778	2800	281
37.904338	52.1675	-22.5325	4985	578
23.66729	48.329722	-20.788889	397	352
31.773085	47.714722	-23.101944	1000	121
22.812045	49.606667	-23.205278	1890	306
31.694811	48.194722	-23.244444	748	163
62.923753	48.169167	-22.426111	2100	200
7.8990722	48.335556	-22.041667	500	241
7.5930926	45.549444	-22.958333	2578	129
24.211639	50.890278	-20235	2344	573
21.65333	46.693611	-22.816389	5000	81
48.918552	50.513611	-21.934722	2000	437
0	51.570556	-21.381111	3500	562
41.197823	50.1075	-20.933333	1800	460
50.353681	50.476111	-20.051667	4305	555
12.903772	49.7175	-21.165556	1100	413
41.568533	45.071111	-23.433889	142	160
25.733763	49.663056	-22.526667	1332	330
54.479165	49.174722	-20.952778	1000	389
55.026567	49.897222	-20.887222	1520	447
22.637416	50.643056	-20.246111	6022	552
46.772943	49.280833	-21.783889	107	335
44.521541	49.29	-21.201667	1930	377
22.611472	50.0875	-20.422222	3400	497
9.8284297	46.995833	-22.970556	200	74
26.368911	50.868333	-21.227778	940	506
14.900781	46.413611	-22.888889	1500	76
75.107984	46.893611	-21.832222	2330	192
46.883342	47.026389	-23.603333	0	40
41.512521	46.828333	-23.211389	8	42
16.849312	49.819444	-22.219722	1000	358
16.355394	46.975278	-23.029722	120	67
20.752007	48.296944	-20.873056	520	342
29.107444	48.629167	-21.170556	100	334
37.883844	50.484444	-20.196667	1155	544
62.925388	47.437778	-23.546667	1425	82
32.446221	49.972778	-20.422778	8730	488
55.26737	50.050833	-21.052222	2200	447
32.619758	49.709444	-23.038889	380	319
71.536723	46.944722	-22.271389	300	145
0	0	0	0	0
